movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0215750,Enemy at the Gates,2001,R,131 min,"Action, Drama, War",7.5,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,Jean-Jacques Annaud,/name/nm0000269/,"Jude Law, 
Ed Harris, 
Joseph Fiennes, 
Rachel Weisz","/name/nm0000179/,/name/nm0000438/,/name/nm0001212/,/name/nm0001838/",266228.0,51401758.0
tt0038733,Stairway to Heaven,1946,PG,104 min,"Drama, Fantasy, Romance",8.0,"A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl.","Michael Powell, 
Emeric Pressburger",/name/nm0003836/,"David Niven, 
Kim Hunter, 
Robert Coote, 
Kathleen Byron","/name/nm0696247/,/name/nm0000057/,/name/nm0001375/,/name/nm0178509/,/name/nm0126402/",22873.0,
tt0159365,Cold Mountain,2003,R,154 min,"Adventure, Drama, Romance",7.2,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",Anthony Minghella,/name/nm0005237/,"Jude Law, 
Nicole Kidman, 
Renée Zellweger, 
Eileen Atkins","/name/nm0000179/,/name/nm0000173/,/name/nm0000250/,/name/nm0040586/",150851.0,95636509.0
tt14846026,Sisu,2022,,91 min,"Action, War",7.6,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.",Jalmari Helander,/name/nm1118351/,"Jorma Tommila, 
Aksel Hennie, 
Jack Doolan, 
Mimosa Willamo","/name/nm0866918/,/name/nm0377336/,/name/nm1660027/,/name/nm4241408/",837.0,
tt9170516,Skyggen i mit øje,2021,TV-MA,107 min,"Drama, History, War",7.3,The fates of several Copenhagen residents collide when a WWII bombing mission accidentally targets a school full of children.,Ole Bornedal,/name/nm0097079/,"Bertram Bisgaard Enevoldsen, 
Ester Birch, 
Ella Josephine Lund Nilsson, 
Malena Lucia Lodahl","/name/nm10705143/,/name/nm11277598/,/name/nm10692514/,/name/nm11277599/",13624.0,
tt0349683,King Arthur,2004,PG-13,126 min,"Action, Adventure, Drama",6.3,A demystified take on the tale of King Arthur and the Knights of the Round Table.,Antoine Fuqua,/name/nm0298807/,"Clive Owen, 
Stephen Dillane, 
Keira Knightley, 
Ioan Gruffudd","/name/nm0654110/,/name/nm0226820/,/name/nm0461136/,/name/nm0344435/",170370.0,51882244.0
tt0985699,Valkyrie,2008,PG-13,121 min,"Drama, History, Thriller",7.1,"A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",Bryan Singer,/name/nm0001741/,"Tom Cruise, 
Bill Nighy, 
Carice van Houten, 
Kenneth Branagh","/name/nm0000129/,/name/nm0631490/,/name/nm0396924/,/name/nm0000110/",248140.0,83077833.0
tt0164184,The Sum of All Fears,2002,PG-13,124 min,"Action, Drama, Thriller",6.4,"CIA analyst Jack Ryan must stop the plans of a Neo-Nazi faction that threatens to induce a catastrophic conflict between the United States and Russia's President by detonating a nuclear weapon at a football game in Baltimore, Maryland.",Phil Alden Robinson,/name/nm0004675/,"Ben Affleck, 
Morgan Freeman, 
Ian Mongrain, 
Russell Bobbitt","/name/nm0000255/,/name/nm0000151/,/name/nm1172817/,/name/nm0090309/",119060.0,118907036.0
tt0277434,We Were Soldiers,2002,R,138 min,"Action, Drama, History",7.1,"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.",Randall Wallace,/name/nm0908824/,"Mel Gibson, 
Madeleine Stowe, 
Greg Kinnear, 
Sam Elliott","/name/nm0000154/,/name/nm0000656/,/name/nm0001427/,/name/nm0000385/",144690.0,78122718.0
tt0418689,Flags of Our Fathers,2006,R,135 min,"Action, Adventure, Drama",7.1,"The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II.",Clint Eastwood,/name/nm0000142/,"Ryan Phillippe, 
Barry Pepper, 
Joseph Cross, 
Jesse Bradford","/name/nm0000202/,/name/nm0001608/,/name/nm0189200/,/name/nm0103038/",125058.0,33602376.0
